player_id,player_name,draft_year,pick_number,college,position,tankathon_position,tankathon_class,college_pos,college_season,class_year,tankathon_age,tankathon_source_rank,measurement_source,college_stats_source,prospect_archetype,size_bucket,height_wo_shoes,weight,wingspan,wingspan_height_diff,position_name,projected_nba_position,model_label,college_mpg,college_ppg,college_rpg,college_apg,college_spg,college_bpg,college_tov,college_usg_pct,college_ast_pct,college_tov_pct,college_stl_pct,college_blk_pct,college_orb_pct,college_drb_pct,college_ts_pct,college_bpm,college_obpm,college_dbpm,college_fg_pct,college_fg2_pct,college_fg3_pct,college_sos,college_fg3a_rate,college_ftr,college_ft_pct,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
2026056,Tobi Lawal,2026,56,Virginia Tech,3.0,PF,Senior,PF,2025-26,SR,23.1,56,,Sports-Reference,dominant_big,wing,80.5,214.0,,,PF,PF,best_star_precision,20.0,8.4,5.7,0.5,0.5,0.8,1.4,21.1,5.1,17.9,1.4,4.3,11.5,22.5,0.636,3.6,2.0,1.6,0.583,0.647,0.325,,0.199,0.656,0.67,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026057,Rafael Castro,2026,57,George Washington,4.0,C,Senior,C,2025-26,SR,23.2,57,,Sports-Reference,dominant_big,forward_big,82.25,224.0,,,C,C,best_star_precision,18.5,8.7,5.7,1.0,0.9,1.0,1.1,20.9,11.5,13.6,2.9,6.2,12.7,22.9,0.645,7.5,4.7,2.8,0.639,0.646,0.125,,0.013,0.734,0.627,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026058,Keyshawn Hall,2026,58,Auburn,2.0,SF,Senior,SF,2025-26,SR,23.2,58,,Sports-Reference,secondary_creator,wing,79.25,227.0,,,SF,SF,best_star_precision,29.3,16.3,6.5,1.9,0.6,0.4,2.4,27.7,13.5,14.6,1.2,1.7,5.6,19.5,0.584,4.8,4.4,0.4,0.45,0.49,0.371,,0.331,0.514,0.833,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026059,Tobe Awaka,2026,59,Arizona,3.0,PF,Senior,PF,2025-26,SR,22.4,59,,Sports-Reference,dominant_big,forward_big,81.25,261.0,,,PF,PF,best_star_precision,16.1,6.5,6.4,0.5,0.3,0.5,0.7,17.8,5.9,12.3,1.1,3.8,18.7,24.7,0.628,6.8,4.0,2.8,0.607,0.613,0.412,13.01,0.029,0.581,0.647,False,"wingspan,wingspan_height_diff",,,,,,UNSCORED_MISSING_DATA
2026060,Nick Boyd,2026,60,Wisconsin,0.0,PG/SG,Senior,PG/SG,2025-26,SR,25.2,60,,Sports-Reference,secondary_creator,small_guard,74.25,176.0,,,PG,PG,best_star_precision,25.5,12.0,3.5,2.9,0.8,0.0,1.3,23.6,22.6,11.1,1.9,0.2,2.8,12.3,0.566,5.9,4.2,1.7,0.443,0.505,0.369,,0.456,0.315,0.783,False,"wingspan,wingspan_height_diff,college_sos",,,,,,UNSCORED_MISSING_DATA
2026006,Darius Acuff Jr.,2026,6,Arkansas,0.0,PG,Freshman,PG,2025-26,FR,19.6,6,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,small_guard,74.0,186.0,79.0,5.0,PG,PG,calibrated,35.1,23.5,3.1,6.4,0.8,0.3,2.2,29.5,32.2,10.0,1.3,0.9,1.6,8.3,0.604,10.1,9.4,0.7,0.484,0.508,0.44,12.32,0.348,0.37,0.809,True,,0.08948009199210849,0.6217699175212398,0.28874999048665173,0.9105199080078915,1.0,ROT+
2026017,Hannes Steinbach,2026,17,Washington,3.0,PF,Freshman,PF,2025-26,FR,20.1,17,Sporting News 2026 combine measurements,Sports-Reference,rim_runner,forward_big,82.25,248.0,86.25,4.0,PF,PF,calibrated,34.6,18.5,11.8,1.6,1.1,1.2,2.0,23.9,9.1,11.9,1.8,3.9,14.3,25.0,0.636,10.1,7.7,2.4,0.577,0.618,0.34,10.4,0.146,0.436,0.759,True,,0.07552237190503319,0.6862681916526496,0.23820943644231718,0.9244776280949668,1.0,ROT+
2026008,Brayden Burries,2026,8,Arizona,1.0,SG/PG,Freshman,SG/PG,2025-26,FR,20.8,8,Sporting News 2026 combine measurements,Sports-Reference,offensive_wing,guard,75.75,215.0,78.0,2.25,SG,SG,calibrated,29.8,16.1,4.9,2.4,1.5,0.2,1.5,23.2,14.2,10.1,2.8,0.7,2.1,14.5,0.616,11.7,6.0,5.7,0.491,0.562,0.391,13.01,0.418,0.395,0.805,True,,0.10667607342002705,0.6862199855050183,0.20710394107495467,0.893323926579973,1.0,ROT+
2026003,AJ Dybantsa,2026,3,BYU,2.0,SF,Freshman,SF,2025-26,FR,19.4,3,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,wing,80.5,217.0,84.25,3.75,SF,SF,calibrated,34.8,25.5,6.8,3.7,1.1,0.3,3.1,33.9,22.1,12.7,1.7,1.1,4.7,16.9,0.6,11.7,9.5,2.2,0.51,0.568,0.331,12.27,0.245,0.49,0.774,True,,0.11468070201759206,0.685510460298217,0.19980883768419092,0.8853192979824079,1.0,ROT+
2026001,Cameron Boozer,2026,1,Duke,3.0,PF,Freshman,PF,2025-26,FR,18.9,1,Sporting News 2026 combine measurements,Sports-Reference,rim_runner,wing,80.25,253.0,85.5,5.25,PF,PF,calibrated,33.4,22.5,10.2,4.1,1.4,0.6,2.5,29.9,25.6,12.8,2.5,2.2,12.5,22.1,0.653,18.7,12.7,6.0,0.556,0.615,0.391,12.15,0.264,0.536,0.789,True,,0.03458718464282029,0.7832398902484737,0.18217292510870597,0.9654128153571797,1.0,ROT+
