player_id,player_name,draft_year,pick_number,college,prospect_archetype,size_bucket,tier,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff,actual_tier_label,source,experiment,train_through_year,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
1631111,Wendell Moore Jr.,2022,26,Duke,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,76.25,217.2,84.5,8.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8360245103895485,0.14084638933971666,0.023129100270734834,0.1639754896104515,0.0,OUT
1631121,Bryce McGowens,2022,40,Nebraska,two_way_wing,guard,0.0,False,False,0,,,,0,False,False,77.25,181.2,80.75,3.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7063091587114234,0.27773080794126725,0.0159600333473093,0.29369084128857653,0.0,OUT
1631217,Moussa Diabaté,2022,43,Michigan,rim_runner,forward_big,0.0,False,False,0,,,,0,False,False,81.25,216.6,86.5,5.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.9110421590326144,0.07351157225647698,0.015446268710908602,0.08895784096738557,0.0,OUT
1631216,Caleb Houstan,2022,32,Michigan,two_way_wing,wing,0.0,False,False,0,,,,0,False,False,80.0,205.0,84.0,4.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6620673843726359,0.32469044000672026,0.013242175620643845,0.3379326156273641,0.0,OUT
1631102,TyTy Washington Jr.,2022,29,Kentucky,secondary_creator,small_guard,0.0,False,False,0,,,,0,False,False,74.25,196.4,80.0,5.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8426812454895687,0.14408895459145218,0.013229799918979119,0.1573187545104313,0.0,OUT
1630600,Isaiah Mobley,2022,49,Southern California,stretch_big,forward_big,0.0,False,False,0,,,,0,False,False,82.0,235.0,87.0,5.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7369713989809636,0.250346282187083,0.012682318831953393,0.26302860101903636,0.0,OUT
1631132,Christian Koloko,2022,33,Arizona,rim_runner,forward_big,0.0,False,False,0,,,,0,False,False,82.75,221.0,89.25,6.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8695104273866473,0.11796533891677882,0.012524233696573904,0.13048957261335273,0.0,OUT
1631213,Tyrese Martin,2022,51,Connecticut,offensive_wing,wing,0.0,False,False,0,,,,0,False,False,78.0,215.0,80.0,2.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6900989200633719,0.29782079621156654,0.012080283725061647,0.3099010799366282,0.0,OUT
1631246,Vince Williams Jr.,2022,47,Virginia Commonwealth,offensive_wing,wing,0.0,False,False,0,,,,0,False,False,78.0,210.0,84.0,6.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7207001396105421,0.2701614576926714,0.00913840269678653,0.2792998603894579,0.0,OUT
1631098,Johnny Davis,2022,10,Wisconsin,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,76.25,196.4,80.5,4.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8059282372205275,0.1855339675243319,0.008537795255140552,0.19407176277947247,0.0,OUT
