experiment,prospect_archetype,n,actual_stars,predicted_stars,star_precision,star_recall,mean_p_star,actual_star_rate
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,primary_creator,1,1,1,1.0,1.0,0.32129551063063666,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,rim_runner,9,0,0,0.0,0.0,0.106305206842559,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,secondary_creator,19,2,2,0.5,0.5,0.16007184502425764,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,stretch_big,5,1,0,0.0,0.0,0.09329771028564864,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,two_way_wing,6,0,1,0.0,0.0,0.11677062915381632,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,dominant_big,1,0,0,0.0,0.0,0.154524961964093,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,offensive_wing,8,0,1,0.0,0.0,0.10461101193545974,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,playmaking_forward,2,0,0,0.0,0.0,0.010677490231927503,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,primary_creator,1,1,1,1.0,1.0,0.43845750547673173,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,rim_runner,9,0,0,0.0,0.0,0.08881563394479318,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,secondary_creator,19,2,2,0.5,0.5,0.134613217464599,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,stretch_big,5,1,0,0.0,0.0,0.11217936850155899,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,two_way_wing,6,0,2,0.0,0.0,0.14609717485823095,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,offensive_wing,8,0,0,0.0,0.0,0.09420909604308064,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,playmaking_forward,2,0,0,0.0,0.0,0.030392508673095862,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,primary_creator,1,1,1,1.0,1.0,0.33082303108575073,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,rim_runner,9,0,0,0.0,0.0,0.12256373529482982,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,secondary_creator,19,2,2,0.5,0.5,0.14883943103269096,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,stretch_big,5,1,0,0.0,0.0,0.08467051260308181,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,two_way_wing,6,0,0,0.0,0.0,0.10863959661637018,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,offensive_wing,8,0,0,0.0,0.0,0.09585936710212367,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,playmaking_forward,2,0,0,0.0,0.0,0.029639054880835833,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,primary_creator,1,1,1,1.0,1.0,0.3608910799840128,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,rim_runner,9,0,0,0.0,0.0,0.12527236571005376,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,secondary_creator,19,2,2,0.5,0.5,0.15003083175004847,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,stretch_big,5,1,0,0.0,0.0,0.08501094287851937,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,two_way_wing,6,0,0,0.0,0.0,0.10915905771977946,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,offensive_wing,8,0,1,0.0,0.0,0.1114879521614017,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,playmaking_forward,2,0,0,0.0,0.0,0.008733448745732088,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,primary_creator,1,1,1,1.0,1.0,0.5501252639906623,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,rim_runner,9,0,0,0.0,0.0,0.09385701425044371,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,secondary_creator,19,2,2,0.5,0.5,0.13469858085339337,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,stretch_big,5,1,0,0.0,0.0,0.10747351482624252,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,two_way_wing,6,0,2,0.0,0.0,0.13562524125432163,0.0
segment_residual_random_forest_sigmoid,dominant_big,1,0,0,0.0,0.0,0.15996991472960115,0.0
segment_residual_random_forest_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.08098297689132132,0.0
segment_residual_random_forest_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.025128793120742426,0.0
segment_residual_random_forest_sigmoid,primary_creator,1,1,1,1.0,1.0,0.4942829254255241,1.0
segment_residual_random_forest_sigmoid,rim_runner,9,0,3,0.0,0.0,0.18080404259575283,0.0
segment_residual_random_forest_sigmoid,secondary_creator,19,2,1,0.0,0.0,0.11460723047405459,0.10526315789473684
segment_residual_random_forest_sigmoid,stretch_big,5,1,0,0.0,0.0,0.07884156386206555,0.2
segment_residual_random_forest_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.10174264396487386,0.0
