experiment,position_archetype,n,actual_stars,actual_top5_stars,predicted_stars,star_false_negatives,top5_star_false_negatives,star_false_positives,out_predicted_star,out_p_star_ge_20,star_precision,star_recall,mean_p_star,actual_star_rate,mean_residual_star_signal
clean_adjusted_two_stage_risk_sigmoid,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.21270937787423652,0.0,
clean_adjusted_two_stage_risk_sigmoid,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.06888074253557291,0.0,
clean_adjusted_two_stage_risk_sigmoid,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.09374510094994419,0.0,
clean_adjusted_two_stage_risk_sigmoid,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.09565146390117582,0.25,
clean_adjusted_two_stage_risk_sigmoid,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.46216787395878284,1.0,
clean_adjusted_two_stage_risk_sigmoid,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.18303976652691684,0.25,
clean_adjusted_two_stage_risk_sigmoid,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.08961348565321547,0.0,
clean_adjusted_two_stage_risk_sigmoid,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.09903597419342741,0.0,
clean_adjusted_two_stage_risk_sigmoid,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.1186153888119574,0.0,
clean_adjusted_two_stage_risk_sigmoid,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.16957628293494853,0.0,
clean_adjusted_two_stage_risk_sigmoid,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.11895186199076316,0.0,
clean_adjusted_two_stage_risk_sigmoid,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.13578495407323404,0.0,
clean_adjusted_two_stage_risk_sigmoid,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.13094674470869797,0.0,
clean_adjusted_two_stage_sigmoid,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.23163674089279965,0.0,
clean_adjusted_two_stage_sigmoid,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.07865763861232135,0.0,
clean_adjusted_two_stage_sigmoid,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.214958323496992,0.0,
clean_adjusted_two_stage_sigmoid,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.06886430866776794,0.0,
clean_adjusted_two_stage_sigmoid,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.09232086611454497,0.0,
clean_adjusted_two_stage_sigmoid,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.09715585300516746,0.25,
clean_adjusted_two_stage_sigmoid,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.45723847125997424,1.0,
clean_adjusted_two_stage_sigmoid,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.18296458514332847,0.25,
clean_adjusted_two_stage_sigmoid,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.09098267384214126,0.0,
clean_adjusted_two_stage_sigmoid,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1057616423639628,0.0,
clean_adjusted_two_stage_sigmoid,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.11858262757204774,0.0,
clean_adjusted_two_stage_sigmoid,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.1695520349520134,0.0,
clean_adjusted_two_stage_sigmoid,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.11764868112129497,0.0,
clean_adjusted_two_stage_sigmoid,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.1361987097072494,0.0,
clean_adjusted_two_stage_sigmoid,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.12933592635231703,0.0,
player_residual_random_forest,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.3326690193846361,0.0,
player_residual_random_forest,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.09888409942711757,0.0,
player_residual_random_forest,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2597903000655648,0.0,
player_residual_random_forest,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.05132708331415703,0.0,
player_residual_random_forest,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.13575236271014418,0.0,
player_residual_random_forest,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.12494144713834582,0.25,
player_residual_random_forest,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.3931731620931289,1.0,
player_residual_random_forest,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.17802489170027902,0.25,
player_residual_random_forest,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.12062802929867833,0.0,
player_residual_random_forest,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.18309080744166895,0.0,
player_residual_random_forest,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.1418911075873407,0.0,
player_residual_random_forest,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.17145956333366721,0.0,
player_residual_random_forest,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.14461105543927594,0.0,
player_residual_random_forest,SG / secondary_creator,7,0,0,1,0,0,1,0,0,0.0,0.0,0.17123097815271984,0.0,
player_residual_random_forest,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.11125324594714502,0.0,
