source_dataset,player_id,player_name,draft_year,pick_number,college,college_year_season,college_year_team,college_year_class_year,college_season_number,college_season_count,college_year_age,college_year_pos,ast_pct_actual,ast_pct_expected,ast_pct_deviation,tov_pct_actual,tov_pct_expected,tov_pct_deviation,stl_pct_actual,stl_pct_expected,stl_pct_deviation,blk_pct_actual,blk_pct_expected,blk_pct_deviation,orb_pct_actual,orb_pct_expected,orb_pct_deviation,drb_pct_actual,drb_pct_expected,drb_pct_deviation,ts_pct_actual,ts_pct_expected,ts_pct_deviation,ws_per_40_actual,ws_per_40_expected,ws_per_40_deviation,bpm_actual,bpm_expected,bpm_deviation,ftr_actual,ftr_expected,ftr_deviation
training,201594,Walter Sharpe,2008,32,Alabama-Birmingham,2007-08,UAB,SO,3,3,21.29,F,16.8,11.879869349254369,4.920130650745632,17.4,14.62703143424009,-2.772968565759909,,,,5.2,5.9641055261125135,-0.7641055261125134,,,,,,,0.528,0.5589722541918262,-0.030972254191826143,0.228,0.2226207867018576,0.005379213298142421,,,,0.5,0.42348521760669694,0.07651478239330306
training,201595,Joey Dorsey,2008,33,Memphis,2007-08,Memphis,SR,4,4,23.88,F,3.5,4.421215605841147,-0.9212156058411471,15.5,17.57683959562261,2.0768395956226087,,,,5.4,5.719713884636218,-0.31971388463621775,,,,,,,0.584,0.5854946612222353,-0.001494661222235294,0.311,0.23383191574735482,0.07716808425264518,,,,0.713,0.5991400240577783,0.11385997594222164
training,201596,Mario Chalmers,2008,34,Kansas,2007-08,Kansas,JR,3,3,21.45,G,24.5,19.791798156268264,4.708201843731736,16.5,16.863168299717874,0.36316829971787357,,,,,,,,,,,,,0.656,0.5852950579572279,0.07070494204277211,0.257,0.19049799487544467,0.06650200512455534,,,,0.409,0.3722233306560341,0.036776669343965895
training,201599,DeAndre Jordan,2008,35,Texas A&M,2007-08,Texas A&M,FR,1,1,19.28,C,4.6,5.940744304437039,-1.340744304437039,19.2,17.80132312166971,-1.3986768783302885,,,,,,,,,,,,,0.58,0.5793655070819863,0.0006344929180136516,0.249,0.1855813736876963,0.06341862631230369,,,,0.65,0.5520757022077281,0.09792429779227196
training,201601,Luc Mbah a Moute,2008,37,California-Los Angeles,2007-08,UCLA,JR,3,3,21.14,F,9.9,11.484359996507097,-1.5843599965070965,18.1,17.711555003521653,-0.3884449964783485,,,,1.2,2.8175722654382898,-1.6175722654382898,,,,,,,0.518,0.5693226052569623,-0.051322605256962306,0.152,0.1659158986518532,-0.013915898651853192,,,,0.302,0.44514184791111466,-0.14314184791111467
training,201602,Kyle Weaver,2008,38,Washington State,2007-08,Washington St.,SR,4,4,21.7,G,,,,20.3,17.111641691523637,-3.1883583084763636,,,,,,,,,,,,,0.561,0.5825158041904932,-0.02151580419049315,0.207,0.19271591928228135,0.014284080717718639,,,,0.577,0.4511907729108476,0.12580922708915238
training,201603,Sonny Weems,2008,39,Arkansas,2007-08,Arkansas,SR,2,2,21.32,F,17.3,16.165579184149088,1.1344208158509126,17.2,12.45195569482318,-4.748044305176819,,,,0.5,2.2411377664534275,-1.7411377664534275,,,,,,,0.552,0.5616604419810074,-0.00966044198100735,0.141,0.17962787058586374,-0.038627870585863755,,,,0.179,0.34056399725028164,-0.16156399725028164
training,201604,Chris Douglas-Roberts,2008,40,Memphis,2007-08,Memphis,JR,3,3,20.81,G,12.8,16.3918933779496,-3.5918933779495994,12.4,13.43794514539875,1.0379451453987496,,,,1.1,2.017122305501535,-0.9171223055015347,,,,,,,0.617,0.5715726387151333,0.045427361284866685,0.282,0.23626067056449415,0.04573932943550582,,,,0.472,0.40540227789966443,0.06659772210033554
training,201606,Sean Singletary,2008,42,Virginia,2007-08,Virginia,SR,4,4,22.15,G,37.7,31.621655427021537,6.078344572978466,18.0,14.487956418827837,-3.512043581172163,,,,0.1,0.671057079684176,-0.5710570796841761,,,,,,,0.562,0.566212797354225,-0.004212797354224973,0.164,0.20132624301364505,-0.03732624301364504,,,,0.466,0.4414419489191851,0.024558051080814935
training,201607,Patrick Ewing,2008,43,Georgetown,1984-85,Georgetown,SR,4,4,23.5,C,,,,15.9,14.601810933394468,-1.2981890666055325,,,,,,,,,,,,,0.633,0.5863237186461955,0.04667628135380453,,,,,,,0.455,0.3861912096016571,0.06880879039834292
training,201610,Trent Plaisted,2008,46,Brigham Young,2007-08,BYU,JR,4,4,,F,13.0,9.393674788968298,3.6063252110317023,14.5,13.03874727627377,-1.4612527237262292,,,,2.5,6.633364732678405,-4.133364732678405,,,,,,,0.549,0.6064152479120867,-0.05741524791208663,0.221,0.29133240913560265,-0.07033240913560265,,,,0.697,0.5472248530308719,0.14977514696912808
training,201611,Henry Walker,2008,47,Kansas State,2007-08,Kansas St.,FR,2,2,20.06,F,14.7,13.04725687805902,1.6527431219409792,15.1,14.302682476389249,-0.7973175236107508,,,,1.4,2.1818022721525496,-0.7818022721525497,,,,,,,0.548,0.5527054514839289,-0.004705451483928869,0.21,0.17357679992010502,0.03642320007989497,,,,0.352,0.3731943511695144,-0.021194351169514403
training,201612,Malik Hairston,2008,48,Oregon,2007-08,Oregon,SR,4,4,20.69,G,14.0,18.344399662014972,-4.344399662014972,12.1,13.914736869918242,1.8147368699182422,,,,1.8,1.656670117786405,0.1433298822135951,,,,,,,0.63,0.5801034126010638,0.04989658739893621,0.184,0.1860772987347204,-0.002077298734720401,,,,0.412,0.34720324531368,0.06479675468631996
training,201613,Richard Hendrix,2008,49,Alabama,2007-08,Alabama,JR,3,3,,F,11.5,9.935900076145797,1.5640999238542026,10.3,14.102583686152842,3.8025836861528415,,,,,,,,,,,,,0.594,0.5616021831094693,0.03239781689053067,0.248,0.19465151415383317,0.05334848584616683,,,,0.525,0.5175622675758722,0.007437732424127819
training,201614,DeVon Hardin,2008,50,California,2007-08,Cal,SR,4,4,,C,5.3,6.1328577406845195,-0.8328577406845197,15.2,16.82941459202539,1.629414592025391,,,,3.5,6.739359295739164,-3.239359295739164,,,,,,,0.584,0.5925683180140955,-0.008568318014095522,0.15,0.19359432871841373,-0.04359432871841373,,,,0.746,0.5042493256171972,0.24175067438280284
training,201615,Shan Foster,2008,51,Vanderbilt,2007-08,Vanderbilt,SR,4,4,,G,10.7,13.189580456661094,-2.489580456661095,10.2,10.716759202780182,0.5167592027801824,,,,0.5,1.2649490804442185,-0.7649490804442185,,,,,,,0.679,0.605407952516873,0.07359204748312709,0.227,0.1973925788929602,0.029607421107039816,,,,0.207,0.25433510234440965,-0.04733510234440966
training,201616,Darnell Jackson,2008,52,Kansas,2007-08,Kansas,SR,4,4,21.98,F,8.0,7.0976250620866805,0.9023749379133195,12.9,16.208799303097393,3.308799303097393,,,,,,,,,,,,,0.65,0.5905306158715354,0.059469384128464586,0.259,0.21336251380167454,0.04563748619832547,,,,0.546,0.531714098073575,0.014285901926425093
training,201618,Maarty Leunen,2008,54,Oregon,2007-08,Oregon,SR,4,4,,F,15.6,12.9318878421353,2.6681121578647,12.5,12.94901808173534,0.44901808173534086,,,,0.7,4.500967725443516,-3.800967725443516,,,,,,,0.696,0.5956708457593003,0.10032915424069966,0.197,0.1741936746637455,0.022806325336254513,,,,0.505,0.31388513024142417,0.19111486975857583
training,201619,Sasha Kaun,2008,56,Kansas,2007-08,Kansas,SR,4,4,22.48,C,2.9,4.057036313254706,-1.157036313254706,12.0,15.425627669317722,3.4256276693177217,,,,,,,,,,,,,0.607,0.5728682868786927,0.03413171312130725,0.242,0.18381046406064022,0.05818953593935977,,,,0.693,0.5751811116365895,0.11781888836341048
training,201620,James Gist,2008,57,Maryland,2007-08,Maryland,SR,4,4,,F,9.0,14.310885136156609,-5.3108851361566085,16.2,13.165869070049133,-3.034130929950866,,,,4.7,4.708023026824636,-0.008023026824635515,,,,,,,0.564,0.5912574207283694,-0.027257420728369453,0.184,0.19880803331852112,-0.014808033318521124,,,,0.399,0.3728717235423369,0.026128276457663135
training,201621,Joe Crawford,2008,58,Kentucky,2007-08,Kentucky,SR,4,4,21.37,G,16.0,19.8034925973926,-3.8034925973926015,15.2,13.803849946568372,-1.3961500534316276,,,,0.4,1.364836447630297,-0.964836447630297,,,,,,,0.581,0.5589291654729326,0.022070834527067373,0.146,0.16098705138734407,-0.014987051387344075,,,,0.324,0.3125957506226661,0.01140424937733392
training,201622,Deron Washington,2008,59,Virginia Tech,2007-08,Virginia Tech,SR,4,4,,F,14.2,15.696525416978327,-1.4965254169783275,13.9,14.617154058115705,0.717154058115705,,,,1.4,2.417996477230484,-1.0179964772304841,,,,,,,0.502,0.5858624227219539,-0.08386242272195388,0.123,0.19630952441172964,-0.07330952441172964,,,,0.62,0.4114618994768337,0.2085381005231663
training,201933,Blake Griffin,2009,1,Oklahoma,2008-09,Oklahoma,SO,2,2,19.63,F,16.3,14.288454289035439,2.011545710964562,15.9,13.918926884697727,-1.981073115302273,,,,2.6,4.3488963554971,-1.7488963554971,,,,,,,0.648,0.595339643008911,0.05266035699108906,0.332,0.26126464665202054,0.07073535334797948,,,,0.706,0.5703026971499245,0.13569730285007542
training,201934,Hasheem Thabeet,2009,2,Connecticut,2008-09,UConn,JR,3,3,21.71,C,2.9,6.532193815637823,-3.6321938156378235,15.2,14.002867471208749,-1.1971325287912506,,,,9.2,8.890350088803746,0.30964991119625296,,,,,,,0.646,0.6238054227637033,0.022194577236296698,0.329,0.26010671415393666,0.06889328584606336,,,,0.763,0.6697269857602194,0.09327301423978063
training,201935,James Harden,2009,3,Arizona State,2008-09,Arizona St.,SO,2,2,19.18,G,29.2,26.344162720388727,2.855837279611272,16.9,15.014874104145475,-1.8851258958545234,,,,0.8,1.3114209868724327,-0.5114209868724326,,,,,,,0.607,0.5687744334518207,0.038225566548179324,0.229,0.2144809424565211,0.014519057543478903,,,,0.597,0.48685059445214657,0.11014940554785341
training,201936,Tyreke Evans,2009,4,Memphis,2008-09,Memphis,FR,1,1,19.12,G,30.0,22.016380433946903,7.983619566053097,18.2,15.191735405153342,-3.0082645948466578,,,,2.2,1.8691062269078111,0.33089377309218904,,,,,,,0.529,0.5562115045523707,-0.027211504552370647,0.268,0.22341707946482145,0.044582920535178566,,,,0.384,0.41809337448755296,-0.03409337448755295
training,201938,Jonny Flynn,2009,6,Syracuse,2008-09,Syracuse,SO,2,2,19.73,G,32.4,31.210010346491455,1.189989653508544,18.1,14.603834110835086,-3.4961658891649154,,,,,,,,,,,,,0.567,0.5682469412953451,-0.0012469412953451942,0.137,0.17397243236555066,-0.036972432365550645,,,,0.481,0.4362399206579849,0.04476007934201509
training,201939,Stephen Curry,2009,7,Davidson,2008-09,Davidson,JR,3,3,20.64,G,40.2,28.759101003882886,11.440898996117117,13.5,12.799870618916714,-0.7001293810832863,,,,0.6,0.9809129508580062,-0.38091295085800625,,,,,,,0.604,0.599172153728285,0.004827846271714953,0.348,0.3023916336445661,0.04560836635543386,,,,0.365,0.3291021218569461,0.035897878143053896
training,201941,Jordan Hill,2009,8,Arizona,2008-09,Arizona,JR,3,3,21.27,F,9.6,11.415524674539375,-1.8155246745393754,14.9,13.365933462767163,-1.534066537232837,,,,3.9,3.9880747972236494,-0.08807479722364953,,,,,,,0.56,0.5855772876837427,-0.025577287683742678,0.167,0.20728295116774562,-0.040282951167745606,,,,0.382,0.47730066242358554,-0.09530066242358554
training,201942,DeMar DeRozan,2009,9,Southern California,2008-09,USC,FR,1,1,19.24,F,9.6,14.659110978105144,-5.059110978105144,14.3,15.555853157526586,1.2558531575265857,,,,,,,,,,,,,0.555,0.5643395875098266,-0.009339587509826552,0.14,0.19793607448033043,-0.05793607448033042,,,,0.401,0.4623712957101512,-0.06137129571015115
training,201944,Terrence Williams,2009,11,Louisville,2008-09,Louisville,SR,4,4,21.35,F,27.0,17.899699373931927,9.100300626068073,16.1,14.206107732881378,-1.8938922671186234,,,,,,,,,,,,,0.517,0.5479515909851018,-0.030951590985101807,0.195,0.1663119185026335,0.028688081497366513,,,,0.298,0.31938099458201147,-0.02138099458201148
training,201945,Gerald Henderson,2009,12,Duke,2008-09,Duke,JR,3,3,20.9,G,18.0,19.762380536415346,-1.7623805364153462,12.5,13.777582603165213,1.2775826031652127,,,,2.0,1.297768787127101,0.7022312128728989,,,,,,,0.542,0.5601955310152582,-0.01819553101525817,0.201,0.20646429024744714,-0.005464290247447129,,,,0.397,0.42821263289521816,-0.03121263289521814
training,201946,Tyler Hansbrough,2009,13,North Carolina,2008-09,UNC,SR,4,4,23.0,F,5.8,8.244663225933662,-2.4446632259336623,9.9,12.64718595616852,2.7471859561685203,,,,0.8,4.420087115844924,-3.6200871158449246,,,,,,,0.613,0.5834738140102926,0.029526185989707354,0.261,0.2088913917279268,0.0521086082720732,,,,0.682,0.4987325186794964,0.18326748132050363
training,201947,Earl Clark,2009,14,Louisville,2008-09,Louisville,JR,3,3,20.79,F,18.2,12.651146083761876,5.548853916238123,19.0,13.20989259413207,-5.79010740586793,,,,,,,,,,,,,0.517,0.5751885870306462,-0.05818858703064622,0.184,0.19458653679638033,-0.01058653679638033,,,,0.314,0.3803456479068414,-0.06634564790684139
training,201948,Austin Daye,2009,15,Gonzaga,2008-09,Gonzaga,SO,2,2,20.41,F,7.8,9.773130635256011,-1.9731306352560116,15.9,14.102027824085795,-1.7979721759142056,,,,6.2,5.252608018476605,0.9473919815233955,,,,,,,0.56,0.5754521162396661,-0.015452116239666025,0.255,0.2057577180103851,0.04924228198961492,,,,0.327,0.412037058001768,-0.08503705800176797
training,201949,James Johnson,2009,16,Wake Forest,2008-09,Wake Forest,SO,2,2,21.7,F,12.3,10.359505391108552,1.9404946088914485,15.9,13.96978701523273,-1.9302129847672695,,,,,,,,,,,,,0.593,0.5678900220864905,0.02510997791350944,0.224,0.1924875499641749,0.03151245003582512,,,,0.287,0.34744225100901505,-0.06044225100901507
training,201950,Jrue Holiday,2009,17,California-Los Angeles,2008-09,UCLA,FR,1,1,18.39,G,23.8,21.62604397962426,2.1739560203757406,21.2,19.545226776695845,-1.6547732233041543,,,,1.7,1.3777990284035675,0.32220097159643246,,,,,,,0.532,0.5645249941164527,-0.03252499411645271,0.138,0.14302705631271778,-0.00502705631271777,,,,0.249,0.3611894048383398,-0.11218940483833978
training,201951,Ty Lawson,2009,18,North Carolina,2008-09,UNC,JR,3,3,21.0,G,35.6,29.294054094344244,6.305945905655758,13.0,16.86192219529874,3.861922195298739,,,,0.3,0.7131982622402664,-0.4131982622402664,,,,,,,0.659,0.5710419078528015,0.08795809214719852,0.263,0.18439137717359366,0.07860862282640635,,,,0.608,0.42419700024247164,0.18380299975752834
training,201952,Jeff Teague,2009,19,Wake Forest,2008-09,Wake Forest,SO,2,2,20.39,G,20.2,23.3773338382146,-3.177333838214601,18.0,16.306112010985157,-1.6938879890148435,,,,,,,,,,,,,0.615,0.554548962985944,0.060451037014055964,0.227,0.18033246500355804,0.04666753499644197,,,,0.59,0.4481605139254723,0.14183948607452768
training,201953,Eric Maynor,2009,20,Virginia Commonwealth,2008-09,VCU,SR,4,4,21.39,G,,,,13.4,10.414592803558511,-2.985407196441489,,,,,,,,,,,,,0.583,0.5706463610113423,0.012353638988657711,0.23,0.17561145364632055,0.05438854635367946,,,,0.453,0.2690827361806133,0.18391726381938672
training,201954,Darren Collison,2009,21,California-Los Angeles,2008-09,UCLA,SR,4,4,21.19,G,28.4,25.71569888508364,2.6843011149163587,17.7,17.259825618868614,-0.44017438113138496,,,,0.4,0.900363942425341,-0.500363942425341,,,,,,,0.624,0.5896752529298429,0.03432474707015709,0.196,0.18430286450157982,0.011697135498420191,,,,0.366,0.43674922697116664,-0.07074922697116665
training,201957,Byron Mullens,2009,24,Ohio State,2008-09,Ohio St.,FR,1,1,19.71,C,3.3,5.0568270731033325,-1.7568270731033326,18.0,16.86405889356438,-1.1359411064356202,,,,4.7,7.629902229780641,-2.929902229780641,,,,,,,0.629,0.5916801943739788,0.03731980562602122,0.198,0.21409117893609897,-0.01609117893609896,,,,0.495,0.498754927083924,-0.003754927083923998
training,201959,Taj Gibson,2009,26,Southern California,2008-09,USC,JR,3,3,23.36,F,8.2,9.177598994102217,-0.9775989941022178,15.2,16.96760513930492,1.7676051393049192,,,,,,,,,,,,,0.621,0.5967819122807928,0.024218087719207193,0.26,0.21530451739846324,0.04469548260153677,,,,0.576,0.5198323999800183,0.05616760001998167
training,201960,DeMarre Carroll,2009,27,Missouri,2008-09,Missouri,SR,4,4,22.27,F,15.2,12.841506098585004,2.3584939014149953,9.5,12.606050224441336,3.1060502244413364,,,,1.8,2.6754589002198594,-0.8754589002198594,,,,,,,0.591,0.582772607307177,0.008227392692823021,0.271,0.24407898900991473,0.026921010990085287,,,,0.433,0.43639637756833993,-0.0033963775683399366
